name,total_number,fill_f_A,fill_f_p,l1_norm
SN2013az,4,0.0001,0.0075,nan
SN2012fk,6,0.0001,0.0160,nan
NGC0628-P7,22390,0.2323,0.2814,1.2
SN2012fk_P1_b,2,0.0000,0.0000,nan
SN2007hj,4,0.0001,0.0952,16.7
SN2004cs,25854,0.2933,0.7592,1.7
NGC4980,23872,0.2574,0.3608,1.0
SN2011jm,6570,0.0333,0.1809,1.5
NGC7130,11910,0.1390,0.3109,1.2
SN2012gm,8458,0.1425,0.6120,0.6
SN2007hx,456,0.0065,0.2125,2.6
SN2012fw,9570,0.1220,0.5155,1.2
SN2009ds_1,17665,0.1786,0.4887,0.7
NGC2906,3741,0.0420,0.1145,1.5
NGC848,25793,0.2900,0.5497,0.9
SN2016blt,1358,0.0185,0.1420,1.6
SN2008J_2,16836,0.2021,0.5619,1.0
SN2011jt,2729,0.0352,0.3892,1.6
SN2012cu_2,2063,0.0206,0.1584,3.4
SN2014dm,7842,0.3571,0.6150,1.1
NGC0924,143,0.0018,0.0426,14.9
SN2012G_P1_b,3489,0.0404,0.4842,2.5
SN2007as,16330,0.1954,0.5948,0.6
SN2014cd,10312,0.1531,0.5200,1.4
SN2012G_b,2912,0.0310,0.5051,2.0
SN2013cs,4596,0.0526,0.4145,1.6
SN2017dch,1150,0.0162,0.4856,1.3
SN2008ha,9822,0.1173,0.2007,2.8
SN2016ecm,1991,0.0283,0.6241,1.1
SN2017anf,417,0.0159,0.3901,1.7
NGC7755,31539,0.2965,0.4077,1.3
SN2013M,14180,0.1555,0.3705,1.8
SN2017eni,2074,0.0353,0.7019,1.4
SN2012G,312,0.0050,0.2058,6.4
SN2017dkb,2041,0.0287,0.3672,1.4
SN2017dek,1868,0.0280,0.5043,1.2
SN2016iyd,808,0.0093,0.6397,1.3
SN2008V,21811,0.2979,0.7179,1.1
SDSS094954+003658,31643,0.3866,0.6170,1.1
SN2008hj,6967,0.1235,0.4713,2.6
SDSSJ0959+1259_src3,0,0.0000,0.0000,nan
SN2017dgd,30,0.0004,0.1124,29.1
SN2013fy,7165,0.1184,0.5049,1.0
SN2017eca,251,0.0035,0.2352,4.9
SN2017fbq,1459,0.0220,0.3054,4.0
SN2012bl_1,10301,0.0570,0.5779,1.3
SN2017gip,1132,0.0126,0.3421,2.3
SN2009aa,7143,0.1536,0.5042,1.5
NGC7140,9260,0.0854,0.2555,1.4
SN2017eiy,4390,0.0611,0.5739,1.6
SN2017bzb,8496,0.0959,0.4071,1.2
NGC833,402,0.0051,0.0242,4.3
SN2017fem,9186,0.1233,0.8076,0.9
SN2017giq,506,0.0074,0.2856,7.2
VCC,3,0.0001,0.2308,nan
SN2009J,27639,0.3248,0.4876,3.0
SN2017gbv,10563,0.1354,0.5064,1.2
SN2017mw,7666,0.1167,0.4163,0.5
SN2017fqo,11847,0.1500,0.5496,0.7
SN2017fgk,397,0.0059,0.5943,2.3
SN2017caw,5278,0.0654,0.5459,1.6
SN2017auf,14646,0.1681,0.4541,1.2
SN2017lt,2694,0.0354,0.3728,2.3
SN2017ggv,1619,0.0251,0.6975,1.3
NGC7421,25716,0.2558,0.3777,0.6
SN2017pn,944,0.0122,0.3955,1.3
SN2017ful,832,0.0101,0.4903,1.6
SN2009I,21829,0.3158,0.5977,0.5
SN2009le_1,26675,0.3349,0.6048,1.2
SN2014at,19299,0.2441,0.6829,1.2
SN2017cjd,2477,0.0319,0.5415,0.9
target_1_centre,9267,0.1142,0.4681,2.1
SNL-1,11,0.0002,0.2000,nan
NGC1068,28167,0.0981,0.1484,0.7
ASASSN15db,47257,0.5125,0.7406,1.7
SN2017blh,4629,0.0612,0.5368,1.6
SN2011hb,29378,0.3488,0.5176,0.6
SN2012hd,17844,0.2220,0.4702,1.2
NGC5248,37988,0.3870,0.4541,0.5
ASASSN-15hf,5,0.0001,0.0105,nan
SN2014at_P1_b,2761,0.0672,0.4315,1.3
NGC5328,0,0.0000,0.0000,nan
SN2017ggw,6184,0.0644,0.3695,2.8
