name,FWHM,sigma_FWHM
SN2017eni,1.969,0.319
SN2017fbq,1.5,0.08
SN2017fbu,1.007,0.168
SN2017fem,0.932,0.097
SN2017fgk,0.827,0.067
SN2017fqk,1.351,0.172
SN2017fqo,0.645,0.026
SN2017ful,1.059,0.11
SN2017fvf,1.278,0.077
SN2017fvr,1.226,0.122
SN2017fwm,1.044,0.063
SN2017gaw,1.13,0.225
SN2017gbv,1.134,0.096
SN2017ggv,0.621,0.054
SN2017ggw,1.193,0.12
SN2017gip,1.123,0.157
SN2017giq,1.465,0.218
SN2017lt,0.567,0.106
SN2017mw,2.718,1.376
SN2017pn,1.536,0.289
SNL-1,1.128,0.076
target_1_centre,1.097,0.146
target_3_centre,0.756,0.206
target_5_centre,0.641,0.095
UGC02690,1.616,0.169
UGC06697,1.053,0.158
UGC09799,1.094,0.441
VCC,1.383,0.212
